deg_urb,geo,TIME_PERIOD,OBS_VALUE
DEG1,NL,2020,10.7
DEG1,NL,2021,15.3
DEG1,NL,2022,24.9
DEG1,NO,2010,9.5
DEG1,NO,2011,10.9
DEG1,NO,2012,10.7
DEG1,NO,2013,11.6
DEG1,NO,2015,14.8
DEG1,NO,2016,14.2
DEG1,NO,2017,13.2
DEG1,NO,2018,14.9
DEG1,NO,2019,14.6
DEG1,NO,2020,13.0
DEG1,PL,2010,11.5
DEG1,PL,2011,12.1
DEG1,PL,2012,12.4
DEG1,PL,2013,12.1
DEG1,PL,2014,10.9
DEG1,PL,2015,9.8
DEG1,PL,2016,9.5
DEG1,PL,2017,9.0
DEG1,PL,2018,8.3
DEG1,PL,2019,7.9
DEG1,PL,2020,5.4
DEG1,PL,2021,6.7
DEG1,PT,2010,5.3
DEG1,PT,2011,8.3
DEG1,PT,2012,9.5
DEG1,PT,2013,9.6
DEG1,PT,2014,9.7
DEG1,PT,2015,9.5
DEG1,PT,2016,8.2
DEG1,PT,2017,7.9
DEG1,PT,2018,6.0
DEG1,PT,2019,7.3
DEG1,PT,2020,4.8
DEG1,PT,2021,6.6
DEG1,RO,2010,13.4
DEG1,RO,2011,9.3
DEG1,RO,2012,16.9
DEG1,RO,2013,16.0
DEG1,RO,2014,13.7
DEG1,RO,2015,13.8
DEG1,RO,2016,13.7
DEG1,RO,2017,9.6
DEG1,RO,2018,7.0
DEG1,RO,2019,5.2
DEG1,RO,2020,5.5
DEG1,RO,2021,4.7
DEG1,RS,2013,24.4
DEG1,RS,2014,28.9
DEG1,RS,2015,28.4
DEG1,RS,2016,31.3
DEG1,RS,2017,30.6
DEG1,RS,2018,28.0
DEG1,RS,2019,19.7
DEG1,RS,2020,16.3
DEG1,RS,2021,14.4
DEG1,SE,2010,10.8
DEG1,SE,2011,10.7
DEG1,SE,2012,9.8
DEG1,SE,2013,11.2
DEG1,SE,2014,11.2
DEG1,SE,2015,11.2
DEG1,SE,2016,11.3
DEG1,SE,2017,10.6
DEG1,SE,2018,10.1
DEG1,SE,2019,12.4
DEG1,SE,2020,10.1
DEG1,SE,2021,10.6
DEG1,SI,2010,5.7
DEG1,SI,2011,5.8
DEG1,SI,2012,7.6
DEG1,SI,2013,8.5
DEG1,SI,2014,9.9
DEG1,SI,2015,9.2
DEG1,SI,2016,9.3
DEG1,SI,2017,7.2
DEG1,SI,2018,7.6
DEG1,SI,2019,7.4
DEG1,SI,2020,7.1
DEG1,SI,2021,4.5
DEG1,SK,2010,5.8
DEG1,SK,2011,8.0
DEG1,SK,2012,7.7
DEG1,SK,2013,8.2
DEG1,SK,2014,10.8
DEG1,SK,2015,12.1
DEG1,SK,2016,7.0
DEG1,SK,2017,7.8
DEG1,SK,2018,5.6
DEG1,SK,2019,8.9
DEG1,SK,2020,3.6
DEG1,SK,2021,10.1
DEG1,UK,2010,17.8
DEG1,UK,2011,17.0
DEG1,UK,2012,7.9
DEG1,UK,2013,9.3
DEG1,UK,2014,14.4
DEG1,UK,2015,14.5
DEG1,UK,2016,14.0
DEG1,UK,2017,13.5
DEG1,UK,2018,16.2
DEG3,AL,2017,10.9
DEG3,AL,2018,5.1
DEG3,AL,2019,4.9
DEG3,AL,2020,3.0
DEG3,AT,2010,3.3
DEG3,AT,2011,3.0
DEG3,AT,2012,3.8
DEG3,AT,2013,4.3
DEG3,AT,2014,3.0
DEG3,AT,2015,2.4
DEG3,AT,2016,3.8
DEG3,AT,2017,4.0
DEG3,AT,2018,4.0
DEG3,AT,2019,3.6
DEG3,AT,2020,3.2
DEG3,AT,2021,3.4
DEG3,AT,2022,4.1
DEG3,BE,2010,9.3
DEG3,BE,2011,9.1
DEG3,BE,2012,9.8
DEG3,BE,2013,7.1
DEG3,BE,2014,8.5
DEG3,BE,2015,6.7
DEG3,BE,2016,7.1
DEG3,BE,2017,6.9
DEG3,BE,2018,6.0
DEG3,BE,2019,6.5
DEG3,BE,2020,5.4
DEG3,BE,2021,4.4
DEG3,BE,2022,4.9
DEG3,BG,2010,6.6
DEG3,BG,2011,8.8
DEG3,BG,2012,17.5
DEG3,BG,2013,17.1
DEG3,BG,2014,15.1
DEG3,BG,2015,16.2
DEG3,BG,2016,23.8
DEG3,BG,2017,20.4
DEG3,BG,2018,22.0
DEG3,BG,2019,18.5
DEG3,BG,2020,16.4
DEG3,BG,2021,13.3
DEG3,BG,2022,18.1
DEG3,CH,2010,13.1
DEG3,CH,2011,10.0
DEG3,CH,2012,9.9
DEG3,CH,2013,8.8
DEG3,CH,2014,8.8
DEG3,CH,2015,9.4
DEG3,CH,2016,8.4
DEG3,CH,2017,8.7
DEG3,CH,2018,8.4
DEG3,CH,2019,10.3
DEG3,CH,2020,9.1
DEG3,CH,2021,9.7
DEG3,CY,2010,1.5
DEG3,CY,2011,2.2
DEG3,CY,2012,1.2
DEG3,CY,2013,2.2
DEG3,CY,2014,2.3
DEG3,CY,2015,3.0
DEG3,CY,2016,2.1
DEG3,CY,2017,1.4
DEG3,CY,2018,0.6
DEG3,CY,2019,1.9
DEG3,CY,2020,1.4
DEG3,CY,2021,1.3
DEG3,CZ,2010,8.5
DEG3,CZ,2011,7.7
DEG3,CZ,2012,6.5
DEG3,CZ,2013,8.0
DEG3,CZ,2014,7.6
DEG3,CZ,2015,5.9
DEG3,CZ,2016,5.2
DEG3,CZ,2017,5.4
DEG3,CZ,2018,4.4
DEG3,CZ,2019,3.2
DEG3,CZ,2020,3.6
DEG3,CZ,2021,2.9
DEG3,DE,2010,12.3
DEG3,DE,2011,13.6
DEG3,DE,2012,13.9
DEG3,DE,2013,13.3
DEG3,DE,2014,12.7
DEG3,DE,2015,12.0
DEG3,DE,2016,12.2
DEG3,DE,2017,11.0
