geo,TIME_PERIOD,OBS_VALUE
SI,2008,71.6
SI,2009,80.7
SI,2010,79.1
SI,2011,76.3
SI,2012,73.5
SI,2013,69.9
SI,2014,72.9
SI,2015,73.1
SI,2016,74.3
SI,2017,74.4
SI,2018,74.1
SI,2019,73.3
SI,2020,72.3
SI,2021,74.3
SK,2003,36.2
SK,2004,41.7
SK,2005,42.3
SK,2006,46.4
SK,2007,53.0
SK,2008,57.4
SK,2009,58.1
SK,2010,56.1
SK,2011,55.2
SK,2012,55.5
SK,2013,54.1
SK,2014,52.4
SK,2015,51.8
SK,2016,75.2
SK,2017,88.8
SK,2018,91.2
SK,2019,92.6
SK,2020,97.3
SK,2021,98.8
UK,2003,188.3
UK,2004,190.9
UK,2005,190.7
UK,2006,185.8
UK,2007,184.1
UK,2008,160.3
UK,2009,145.5
UK,2010,146.7
UK,2011,148.8
UK,2012,160.4
UK,2013,160.3
UK,2014,174.6
UK,2015,201.1
UK,2016,186.8
UK,2017,169.9
UK,2018,170.2
UK,2019,169.3
UK,2020,167.7
